wavelength_um, flux_erg/cm2/s/cm
2.730226350979153782e+00,1.286189088963465271e+11
2.721140739162251965e+00,8.500209452218838501e+10
2.712085362326436933e+00,8.754440126760758972e+10
2.703060119856133259e+00,9.778537849695843506e+10
2.694064911470588797e+00,7.362298210849436951e+10
2.685099637222766678e+00,7.635864818252378845e+10
2.676164197498231534e+00,8.044533281459005737e+10
2.667258493014044607e+00,8.089989357096203613e+10
2.658382424817658407e+00,1.173116642273849487e+11
2.649535894285819815e+00,1.249639871899147339e+11
2.640718803123470959e+00,1.387755484778473206e+11
2.631931053362660311e+00,1.203162536006809998e+11
2.623172547361453333e+00,1.246390902726387634e+11
2.614443187802846236e+00,1.141738331147071533e+11
2.605742877693685511e+00,8.956073726969990540e+10
2.597071520363590125e+00,9.130961942297389221e+10
2.588429019463877268e+00,9.190164562879591370e+10
2.579815278966493430e+00,9.360645746398602295e+10
2.571230203162944150e+00,9.143354208799478149e+10
2.562673696663233525e+00,7.689179976097639465e+10
2.554145664394804172e+00,1.063967743693428650e+11
2.545646011601476744e+00,8.369975126712933350e+10
2.537174643842403654e+00,1.012242534269261780e+11
2.528731466991014365e+00,1.049349287386702271e+11
2.520316387233973110e+00,1.093059405116597900e+11
2.511929311070133064e+00,1.124394417896247864e+11
2.503570145309500283e+00,1.167868935220832062e+11
2.495238797072197201e+00,1.281347688099858856e+11
2.486935173787431452e+00,1.258016138240726166e+11
2.478659183192465143e+00,1.288578264045504913e+11
2.470410733331591668e+00,1.305794220746437836e+11
2.462189732555113864e+00,1.412991442338096313e+11
2.453996089518324375e+00,1.389597062966831970e+11
2.445829713180493137e+00,1.403710297353511658e+11
2.437690512803852627e+00,1.388711955048296509e+11
2.429578397952592006e+00,1.463983836408678589e+11
2.421493278491850809e+00,1.408940037766795959e+11
2.413435064586719747e+00,1.428317504177486267e+11
2.405403666701240173e+00,1.443315623693004150e+11
2.397398995597408877e+00,1.412589993551040955e+11
2.389420962334189991e+00,1.322495448565099945e+11
2.381469478266522000e+00,1.199814334286820679e+11
2.373544455044337642e+00,1.043124505144597473e+11
2.365645804611577585e+00,1.420479692085450134e+11
2.357773439205216537e+00,1.330601886501934814e+11
2.349927271354283587e+00,1.154652763171779938e+11
2.342107213878894978e+00,1.128128360108969269e+11
2.334313179889281553e+00,1.187904893173422852e+11
2.326545082784824636e+00,1.245569314501638641e+11
2.318802836253094579e+00,1.223219554434088898e+11
2.311086354268891530e+00,1.577690425217433167e+11
2.303395551093288418e+00,1.460866944811502380e+11
2.295730341272677943e+00,1.250576008748541565e+11
2.288090639637827106e+00,1.318134300708466797e+11
2.280476361302925969e+00,1.377857306714668274e+11
2.272887421664647079e+00,1.388582923081221008e+11
2.265323736401203547e+00,1.367440489119500580e+11
2.257785221471416026e+00,1.370113788966960602e+11
2.250271793113774343e+00,1.407365279398997498e+11
2.242783367845509357e+00,1.428810264179099731e+11
2.235319862461663920e+00,1.485875360402063293e+11
2.227881194034170509e+00,1.559246666090734558e+11
2.220467279910928404e+00,1.593608281399515381e+11
2.213078037714885316e+00,1.576256757602866821e+11
2.205713385343122557e+00,1.436475196848692627e+11
2.198373240965940667e+00,1.544381409651673584e+11
2.191057523025954357e+00,1.705705132028200378e+11
2.183766150237181680e+00,1.740589792439321289e+11
2.176499041584146532e+00,1.763834738372003174e+11
2.169256116320971373e+00,1.760514199694415588e+11
2.162037293970485941e+00,1.776653141428367310e+11
2.154842494323329305e+00,1.776820383128564148e+11
2.147671637437062131e+00,1.786034513099482422e+11
2.140524643635274948e+00,1.784446339694963684e+11
2.133401433506705303e+00,1.790250194432818604e+11
2.126301927904353573e+00,1.788120843742859802e+11
2.119226047944605007e+00,1.787613498711721497e+11
2.112173715006352648e+00,1.789600338420579224e+11
2.105144850730125583e+00,1.787724124147396545e+11
2.098139377017213647e+00,1.786796843737501221e+11
2.091157216028803667e+00,1.783434034310314026e+11
2.084198290185113933e+00,1.783996601616470337e+11
2.077262522164531333e+00,1.781998969119968872e+11
2.070349834902752484e+00,1.782428651698119812e+11
2.063460151591927971e+00,1.777699432024730225e+11
2.056593395679808367e+00,1.775263191258286743e+11
2.049749490868893798e+00,1.775661367152153015e+11
2.042928361115586622e+00,1.752774345081239014e+11
2.036129930629344997e+00,1.759810772614036865e+11
2.029354123871843107e+00,1.730582931038811340e+11
2.022600865556129612e+00,1.738942767147041931e+11
2.015870080645793205e+00,1.719741077267901001e+11
2.009161694354127281e+00,1.651017296702053223e+11
2.002475632143298157e+00,1.669598061920867615e+11
1.995811819723519953e+00,1.640458463771404114e+11
1.989170183052227037e+00,1.519086223412713623e+11
1.982550648333251120e+00,1.556310774247937622e+11
1.975953142016002140e+00,1.500150745623399353e+11
1.969377590794651356e+00,1.510291854539853210e+11
1.962823921607314892e+00,1.403225863665697327e+11
1.956292061635243940e+00,1.289571844028864441e+11
1.949781938302015183e+00,1.456790875750300293e+11
1.943293479272723667e+00,1.297227123676655884e+11
1.936826612453180774e+00,1.247770902753386688e+11
1.930381265989110195e+00,1.382827013693930359e+11
1.923957368265352796e+00,1.332486768374648285e+11
1.917554847905068804e+00,1.374830484200453491e+11
1.911173633768945335e+00,1.413640124614274902e+11
1.904813654954406354e+00,1.373198162600371704e+11
1.898474840794824425e+00,1.446735634947690430e+11
1.892157120858735109e+00,1.457675797039086609e+11
1.885860424949055369e+00,1.382129329850535278e+11
1.879584683102302867e+00,1.389599483380345764e+11
1.873329825587819464e+00,1.182756991215047455e+11
1.867095782906994739e+00,1.063710206823838501e+11
1.860882485792495711e+00,1.163513410328826294e+11
1.854689865207495902e+00,1.160404069077983246e+11
1.848517852344908174e+00,1.176746175227511749e+11
1.842366378626622447e+00,1.294962481167504730e+11
1.836235375702739869e+00,1.231138614411186066e+11
1.830124775450817642e+00,1.249947715979428711e+11
1.824034509975108076e+00,1.256274360792991943e+11
1.817964511605806077e+00,1.149411467644760742e+11
1.811914712898299529e+00,1.220303048116425781e+11
1.805885046632415225e+00,1.233559016798912048e+11
1.799875445811674801e+00,1.197102511987060547e+11
1.793885843662551105e+00,1.221972563080546112e+11
1.787916173633723904e+00,1.319736417863868713e+11
1.781966369395342475e+00,1.297057780882992706e+11
1.776036364838286419e+00,1.369646153394508667e+11
1.770126094073433354e+00,1.362077817422052917e+11
1.764235491430926173e+00,1.400564591690520020e+11
1.758364491459442291e+00,1.402026129493610229e+11
1.752513028925467564e+00,1.441819101002439575e+11
1.746681038812570641e+00,1.444479181179103088e+11
1.740868456320682212e+00,1.442818616962518616e+11
1.735075216865372028e+00,1.428722512176932678e+11
1.729301256077134807e+00,1.435778137414370422e+11
1.723546509800671922e+00,1.437784204795489807e+11
1.717810914094180408e+00,1.423641272342162781e+11
1.712094405228642424e+00,1.409741511845794067e+11
1.706396919687116265e+00,1.396686538629384460e+11
1.700718394164031144e+00,1.362989303245811310e+11
1.695058765564483316e+00,1.367011277097297211e+11
1.689417971003536856e+00,1.371539911417214508e+11
1.683795947805521775e+00,1.378404002638733521e+11
1.678192633503340581e+00,1.374909885396563721e+11
1.672607965837771937e+00,1.319577723431186066e+11
1.667041882756781224e+00,1.245730761352420502e+11
1.661494322414828417e+00,1.379492381729187622e+11
1.655965223172183753e+00,1.353993537367815399e+11
1.650454523594239609e+00,1.355294263556399994e+11
1.644962162450831045e+00,1.328572699247982178e+11
1.639488078715553687e+00,1.297878498041462097e+11
1.634032211565086046e+00,1.304284219183104095e+11
1.628594500378513610e+00,1.275023653121759033e+11
1.623174884736654944e+00,1.284536517800927887e+11
1.617773304421391778e+00,1.291417667811991577e+11
1.612389699414997768e+00,1.309448454461553192e+11
1.607024009899473471e+00,1.318631947886434174e+11
1.601676176255881323e+00,1.319462461593194885e+11
1.596346139063682168e+00,1.318837186296431427e+11
1.591033839100075786e+00,1.314146012590935974e+11
1.585739217339343421e+00,1.308946665524478302e+11
1.580462214952190747e+00,1.302864676607502136e+11
1.575202773305095283e+00,1.298322612693682251e+11
1.569960833959653801e+00,1.292848220614903107e+11
1.564736338671934623e+00,1.284848347430272522e+11
1.559529229391828364e+00,1.277807218915037689e+11
1.554339448262404888e+00,1.267298556795640106e+11
1.549166937619268714e+00,1.255984993073377380e+11
1.544011639989919971e+00,1.242441490222040100e+11
1.538873498093115133e+00,1.227341336548630219e+11
1.533752454838229529e+00,1.217703783795929108e+11
1.528648453324624956e+00,1.192343027658982239e+11
1.523561436841015526e+00,1.187246368691781616e+11
1.518491348864839052e+00,1.171330597929105988e+11
1.513438133061628443e+00,1.162413124101196899e+11
1.508401733284385093e+00,1.137035498472226105e+11
1.503382093572956046e+00,1.109718001355064697e+11
1.498379158153412050e+00,1.095648697688233643e+11
1.493392871437427605e+00,1.083067266893394928e+11
1.488423178021662352e+00,1.070839306869923248e+11
1.483470022687147782e+00,1.046974906150742798e+11
1.478533350398671287e+00,1.028672804710226746e+11
1.473613106304166864e+00,1.000551286795931702e+11
1.468709235734102947e+00,9.341160286878607178e+10
1.463821684200877993e+00,9.564705168697434998e+10
1.458950397398212750e+00,9.846069230999510193e+10
1.454095321200548074e+00,9.412701697341558838e+10
